"filename", "language", "Markdown", "JSON", "CMake", "C", "C++", "comment", "blank", "total"
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/.VSCodeCounter/2024-12-31_23-34-41/details.md", "Markdown", 35, 0, 0, 0, 0, 0, 6, 41
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/.VSCodeCounter/2024-12-31_23-34-41/diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 6, 15
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/.VSCodeCounter/2024-12-31_23-34-41/diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 7, 19
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/.VSCodeCounter/2024-12-31_23-34-41/results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/.VSCodeCounter/2024-12-31_23-34-41/results.md", "Markdown", 29, 0, 0, 0, 0, 0, 7, 36
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/CMakeLists.txt", "CMake", 0, 0, 11, 0, 0, 0, 2, 13
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/Test.c", "C", 0, 0, 0, 5, 0, 3, 1, 9
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/Test.h", "C++", 0, 0, 0, 0, 4, 3, 2, 9
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/CMakeLists.txt", "CMake", 0, 0, 3, 0, 0, 0, 0, 3
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/matrix/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 1, 1
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/CMakeLists.txt", "CMake", 0, 0, 18, 0, 0, 0, 1, 19
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/Poly.h", "C++", 0, 0, 0, 0, 35, 2, 7, 44
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyAdd.c", "C", 0, 0, 0, 37, 0, 0, 14, 51
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyCompare.c", "C", 0, 0, 0, 20, 0, 3, 3, 26
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyCreate.c", "C", 0, 0, 0, 31, 0, 0, 2, 33
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyDerivate.c", "C", 0, 0, 0, 22, 0, 3, 4, 29
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyEvaluate.c", "C", 0, 0, 0, 8, 0, 0, 1, 9
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyFree.c", "C", 0, 0, 0, 16, 0, 0, 3, 19
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyHelper.c", "C", 0, 0, 0, 53, 0, 0, 13, 66
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyHelper.h", "C++", 0, 0, 0, 0, 11, 0, 2, 13
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyIntegrate.c", "C", 0, 0, 0, 17, 0, 3, 4, 24
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyMultiply.c", "C", 0, 0, 0, 72, 0, 0, 20, 92
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyPrint.c", "C", 0, 0, 0, 56, 0, 0, 7, 63
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolySubtract.c", "C", 0, 0, 0, 16, 0, 0, 2, 18
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyTest.c", "C", 0, 0, 0, 339, 0, 66, 30, 435
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyTest.h", "C++", 0, 0, 0, 0, 4, 4, 4, 12
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/vector/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 1, 1
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/main.c", "C", 0, 0, 0, 7, 0, 0, 2, 9
"Total", "-", 85, 1, 32, 699, 54, 87, 152, 1110
